No,カテゴリ,テーマ内容,基本ヒント,追加ヒント1,追加ヒント2,対応マーク
46,健康・運動,ストレス解消法,どんな方法？|どのくらいの頻度？|効果ある？,最近発散できた？|新しい方法試した？,根本的な原因に気づく？|気分転換の工夫ある？,
47,健康・運動,リラックスの時間,何をして過ごす？|どんな場所？|どれくらいの頻度？,一人？誰かと？|お気に入りの方法ある？,その時間の意味？|欠かせない習慣になってる？,
48,健康・運動,体調を崩した時の対応,どんな症状？|どう対処する？|誰に相談する？,薬を使う？|休み方の工夫ある？,体調管理の教訓？|無理した経験ある？,
49,健康・運動,目標にしている健康習慣,何を目指してる？|いつまでに？|なぜ？,具体的な数値目標ある？|継続の工夫？,モチベ維持のコツ？|過去との比較？,
50,健康・運動,理想の健康的な生活,どんな生活？|どんなリズム？|何を大事にしたい？,現実とのギャップある？|取り入れたい習慣は？,理想を持つ理由？|誰の影響？,
51,旅行・観光,最近行って良かった場所,どこに行った？|誰と行った？|何が印象的だった？,食べたものや風景は？|また行きたい？,旅先の学びや気づき？|次はどう楽しみたい？,
52,旅行・観光,行ってみたい国・地域,どこに行きたい？|なぜそこに惹かれる？|何をしたい？,イメージしてる景色ある？|行けるなら誰と？,文化や歴史に興味ある？|夢に見ることある？,
53,旅行・観光,一人旅の魅力・苦手な点,行ったことある？|どんな場所へ？|印象的な体験は？,一人旅の良さは？|不安だった点は？,次はどこに行きたい？|誰かに勧めたい？,
54,旅行・観光,家族旅行の思い出,どこに行った？|誰と行った？|どんな出来事があった？,一番印象に残ってる瞬間は？|写真残ってる？,今振り返って思うこと？|また行きたい場所？,
55,旅行・観光,旅先でのハプニング,どんなトラブル？|どう乗り越えた？|誰といた？,その後どうなった？|今なら笑える？,教訓になった？|似た経験ある？,
56,旅行・観光,海と山どちらが好き？,なぜその理由？|思い出ある？|最近行ったのは？,どんな過ごし方をする？|季節によって変わる？,自然の中で感じること？|写真に残したい景色は？,
57,旅行・観光,理想の旅スタイル,どんな旅が好き？|計画派？自由派？|誰と行きたい？,過去の旅とどう違う？|予算は気にする？,理想の旅先で何を感じたい？|夢の旅プランある？,
58,旅行・観光,印象に残っている宿泊施設,どこに泊まった？|どんな部屋？|食事は？,スタッフの対応は？|また泊まりたい？,旅の目的に合ってた？|宿選びの基準ある？,
59,旅行・観光,旅先で出会った人の話,どんな人？|どこで出会った？|どんな会話をした？,印象に残った理由？|連絡取ってる？,その出会いで何か変わった？|偶然だった？,
60,旅行・観光,旅に持っていく必需品,何を必ず持つ？|どう選んだ？|こだわりある？,失くした経験ある？|最近の便利グッズは？,旅の準備のこだわり？|荷物を減らすコツ？,
61,音楽,最近よく聴くアーティスト,誰をよく聴く？|いつ知った？|どんなところが好き？,ライブ行ったことある？|昔から聴いてる？,歌詞に共感する？|その人の影響受けた？,
62,音楽,好きな音楽ジャンル,ロック？ポップ？ジャズ？|どうしてそのジャンル？|いつから好き？,他のジャンルも聴く？|時代で変化した？,好きな理由を言葉にすると？|その音楽に救われたことある？,
63,音楽,音楽を聴くタイミング,どんな時に聴く？|通勤中？家？|朝と夜どっち多い？,気分で曲変える？|集中する時にも聴く？,音楽が生活に与える影響？|無音が恋しくなることある？,
64,音楽,ライブ・フェスの思い出,どこで？|誰のライブ？|どんな雰囲気だった？,一番印象的な曲は？|一緒に行った人は？,その日の感情を覚えてる？|また行きたいアーティストは？,
65,音楽,好きな歌詞・フレーズ,どんな歌詞？|誰の曲？|なぜ印象に残ってる？,どんな時に聴いた？|その曲との思い出は？,人生観に影響した？|自分に重ねたことある？,
66,音楽,カラオケでよく歌う曲,どんな曲？|誰と行く？|十八番ある？,盛り上がる系？しっとり系？|練習したことある？,歌う時のこだわり？|思い出のカラオケ回ある？,
67,音楽,楽器の経験,何の楽器？|いつ始めた？|どんなきっかけ？,今も続けてる？|演奏した思い出ある？,難しかった点？|いつかまたやりたい？,
68,音楽,昔ハマっていた音楽,どんな曲？|誰の影響？|どの時代？,今聴いても懐かしい？|その頃の思い出ある？,音楽の好みどう変わった？|再ブームきそう？,
69,音楽,音楽配信サービスの使い方,何を使ってる？|どんな機能が好き？|どのくらいの頻度？,プレイリスト作る？|おすすめ機能ある？,昔の聴き方と比べて変わった？|音楽との距離が近づいた？,
70,音楽,音楽が支えてくれた瞬間,どんな時？|どの曲？|どう救われた？,誰かに教えてもらった？|今もその曲を聴く？,人生で忘れられない一曲？,
71,映画・ドラマ・アニメ,最近観た映画,タイトルは？|どんな内容？|誰と観た？,印象に残ったシーンは？|また観たい？,その作品から何を感じた？|おすすめしたい理由は？,
72,映画・ドラマ・アニメ,印象に残っているドラマ,タイトルは？|いつ観た？|どんなストーリー？,俳優や音楽の印象は？|思い出のシーンある？,今観ても響く理由？|そのドラマから学んだこと？,
73,映画・ドラマ・アニメ,好きな俳優・女優,誰が好き？|どんなところが魅力？|初めて観た作品は？,最近観た出演作ある？|どんな役が印象的？,その人に似たタイプ知ってる？|影響受けた作品ある？,
74,映画・ドラマ・アニメ,好きな映画ジャンル,アクション？恋愛？SF？|なぜ好き？|いつからそのジャンル？,嫌いなジャンルある？|気分で選ぶ？,そのジャンルで印象的な作品？|人生観が変わった作品ある？,
75,映画・ドラマ・アニメ,アニメで印象に残っている作品,タイトルは？|どんなシーン？|子どもの頃観た？,好きなキャラクターは？|声優が印象的？,大人になって見方変わった？|再放送で気づいたこと？,
76,映画・ドラマ・アニメ,好きな監督・クリエイター,誰？|代表作は？|どんな作風？,作品を通して感じるテーマ？|映像美や音楽の印象？,他の監督との違い？|影響受けた場面ある？,
77,映画・ドラマ・アニメ,映画館派？配信派？,どっちが多い？|理由は？|最後に映画館行ったのは？,どんな環境で観るのが好き？|配信の便利さ感じる？,映画館でしか味わえないもの？|理想の鑑賞スタイル？,
78,映画・ドラマ・アニメ,子どもの頃に観た忘れられない作品,タイトルは？|どんな話？|誰と観た？,どんな感情を覚えた？|今でも印象に残る理由？,今観るとどう感じる？|価値観変わった？,
79,映画・ドラマ・アニメ,推しキャラ・推し作品,どんなキャラ？|どんなところが好き？|どんな作品？,グッズやイベント行った？|推し活してる？,キャラに共感する部分？|影響受けたことある？,
80,映画・ドラマ・アニメ,感動した作品の名場面,どんなシーン？|なぜ印象的？|誰が演じてた？,何度も観た？|音楽やセリフ覚えてる？,その作品が与えた影響？|似た作品ある？,
81,本・漫画,最近読んだ本,タイトルは？|どんな内容？|どこが印象に残った？,誰に勧められた？|読み終えた感想は？,その本から何を学んだ？|人生観に影響あった？,
82,本・漫画,好きな作家・漫画家,誰が好き？|どんな作風？|代表作は？,その人を知ったきっかけは？|他に似てる作家いる？,作品の魅力を一言で言うと？|自分の人生と重なる部分ある？,
83,本・漫画,子どもの頃に読んでいた本・漫画,タイトルは？|どんな話？|誰に勧められた？,当時の思い出ある？|今読み返したらどう感じる？,その作品が好きだった理由？|成長してから見方が変わった？,
84,本・漫画,印象に残っている名言・セリフ,どんな言葉？|誰が言った？|どんな場面？,その言葉を今も覚えてる理由？|自分にとってどんな意味？,実生活で思い出すことある？|その言葉に救われた経験ある？,
85,本・漫画,好きなジャンル（小説・エッセイ・漫画など）,どんなジャンル？|どうして好き？|いつから？,他のジャンルも読む？|気分で変える？,ジャンルによって読む姿勢変わる？|そのジャンルの魅力とは？,
86,本・漫画,漫画を読む時のこだわり,紙派？電子派？|どこで読む？|一気読み？少しずつ？,コレクションしてる？|完結派？連載派？,読書習慣のルールある？|読む時間をどう確保してる？,
87,本・漫画,おすすめの作品を紹介するとしたら,どんな作品？|どんな魅力？|誰に勧めたい？,印象に残るキャラや場面？|感情を揺さぶられた点は？,自分にとって特別な理由？|その作品で人生変わった？,
88,本・漫画,本屋・図書館の思い出,どんな場所？|よく行ってた？|印象的な出来事？,買う派？借りる派？|お気に入りの本屋ある？,その場所での出会い覚えてる？|空間として好きな理由は？,
89,本・漫画,読書の習慣・時間帯,いつ読む？|どこで読む？|どんな環境が落ち着く？,コーヒーや音楽と一緒？|集中できる時間帯ある？,読むことで得られるもの？|読まない期間が続いたことある？,
90,本・漫画,人生で一番影響を受けた作品,タイトルは？|どんな内容？|どう影響を受けた？,出会った時期は？|誰かと共有した？,その作品が今の自分に残したもの？|読み返して感じたことある？,
91,ゲーム・デジタル娯楽,最近プレイしているゲーム,タイトルは？|どんなジャンル？|どこが面白い？,いつ始めた？|誰と遊ぶ？,ハマった理由？|上達したきっかけ？,
92,ゲーム・デジタル娯楽,子どもの頃にハマったゲーム,タイトルは？|どんな遊び方？|誰とやってた？,思い出のシーンある？|今でも覚えてる？,そのゲームから学んだこと？|今でも好き？,
93,ゲーム・デジタル娯楽,好きなゲームジャンル,RPG？アクション？|どんな理由で好き？|その魅力は？,苦手なジャンルある？|時代で変わった？,理想のゲーム像？|作るならどんなゲーム？,
94,ゲーム・デジタル娯楽,ゲーム実況・配信を観る？,誰のチャンネル？|どんな内容？|きっかけは？,ライブ配信派？切り抜き派？|コメントする？,実況者に影響受けた？|自分でやってみたい？,
95,ゲーム・デジタル娯楽,eスポーツに興味ある？,どんなタイトル？|観戦したことある？|印象的な選手？,競技としてどう思う？|盛り上がるポイント？,今後どう発展すると思う？|日本で流行ると思う？,
96,ゲーム・デジタル娯楽,スマホゲーム派？コンソール派？,どっちが多い？|理由は？|どう遊ぶ？,課金する？|操作性の好みある？,環境によって変える？|理想のプレイ環境は？,
97,ゲーム・デジタル娯楽,印象に残るゲーム音楽,どの作品？|どんな曲？|どんな場面？,今も覚えてる？|作曲者知ってる？,サントラ買った？|音楽の影響感じる？,
98,ゲーム・デジタル娯楽,プレイスタイル・こだわり,どう進める？|難易度設定は？|探索派？ストーリー派？,攻略サイト見る？|トロコン目指す？,プレイから性格見える？|他人と比べる？,
99,ゲーム・デジタル娯楽,ゲーム仲間との思い出,誰と？|どんなゲーム？|どんな出来事？,今も一緒にやる？|喧嘩したことある？,その関係続いてる？|ゲームが絆を深めた？,
100,ゲーム・デジタル娯楽,ゲームが人生に与えた影響,何を学んだ？|どんな価値観に？|きっかけの作品？,人との出会いあった？|仕事や性格に影響？,今も続けたい理由？|ゲームを通じて見えた自分？,
101,芸能・お笑い,好きな芸人・コンビ,誰？|どんなネタ？|どこが好き？,いつから好き？|テレビ？劇場？,その人の人柄に共感？|今後売れそうな芸人は？,
102,芸能・お笑い,よく観るお笑い番組,番組名は？|どんな企画が好き？|いつ観てる？,昔から観てる？|好きな回は？,番組の雰囲気が好き？|司会者が印象的？,
103,芸能・お笑い,印象に残っているネタ・コント,どんなネタ？|誰の？|どこがツボ？,いつ観た？|今でも覚えてる？,そのネタで何を感じた？|笑いの好み変わった？,
104,芸能・お笑い,最近注目しているタレント・俳優,誰？|きっかけは？|どんな魅力？,出演作観た？|SNSもチェック？,今後どんな活躍しそう？|似た雰囲気の人いる？,
105,芸能・お笑い,好きなバラエティ番組,番組名は？|どのコーナーが好き？|誰が出てる？,長く観てる？|特番楽しみにしてる？,番組から感じる空気感？|司会者の進行が好き？,
106,芸能・お笑い,昔好きだった芸人・番組,誰？|どんなネタ？|どの時代？,懐かしいポイント？|今でも観たい？,笑いのスタイル変わった？|当時の社会背景感じる？,
107,芸能・お笑い,ライブや舞台を観た経験,誰の？|どんな内容？|どこで？,印象的な場面？|笑いすぎて泣いた？,生の迫力感じた？|また行きたい？,
108,芸能・お笑い,芸能ニュースで気になった話題,どんな話題？|どう思った？|周りの反応は？,SNSで見た？|報道の印象は？,芸能界の構造を感じた？|世代で見方変わる？,
109,芸能・お笑い,自分が好きな「笑いのタイプ」,シュール？テンポ系？毒舌？|どんな笑いに惹かれる？|誰が代表？,家族や友人と笑いのツボ違う？|言葉より表情派？,笑いに性格出る？|昔と今で変わった？,
110,芸能・お笑い,笑いで救われた経験,どんな時？|誰のネタ？|どんな気持ちになった？,一緒に笑った人は？|それで元気出た？,笑いの力を感じた？|笑いを伝えたいと思う？,
111,学生時代・思い出,部活やサークル活動,どんな活動？|なぜその部に入った？|印象的な出来事？,仲間との思い出？|大会やイベントあった？,そこで学んだこと？|今もつながりある？,
112,学生時代・思い出,学校行事の思い出,どんな行事？|どんな役割だった？|楽しかったこと？,準備や裏方も経験した？|ハプニングあった？,その行事から得たこと？|今でも思い出す？,personal-info
113,学生時代・思い出,仲の良かった友達,どんな関係？|どこで知り合った？|どんな会話してた？,今も連絡取る？|一緒に笑った思い出？,その友達から学んだこと？|今も影響受けてる？,personal-info
114,学生時代・思い出,得意・好きだったこと,どんなことが得意？|きっかけは？|どんな時に褒められた？,練習や努力した？|苦手なことも克服した？,その得意分野が今に役立ってる？|将来どう生かしたい？,
115,学生時代・思い出,印象に残っている先生・先輩・後輩,どんな人？|どんな場面で関わった？|どんな印象？,尊敬している点？|今でも覚えている言葉？,その人から学んだこと？|自分も見習いたい部分？,personal-info
116,学生時代・思い出,休み時間や放課後の過ごし方,何して過ごしてた？|誰と一緒？|どんな雰囲気？,放課後の定番コースあった？|寄り道したことある？,今も似た習慣ある？|その時間に感じたこと？,
117,学生時代・思い出,通学や登校の思い出,どんな通学方法？|どのくらい時間かかった？|印象的な出来事？,季節によって風景変わった？|通学中の楽しみあった？,今通っても懐かしい？|その時間で考えていたこと？,
118,学生時代・思い出,印象に残る出来事やトラブル,どんな出来事？|誰が関わった？|どう乗り越えた？,笑える話？|少し反省した経験？,今ならどう対応する？|あの経験で成長した？,
119,学生時代・思い出,頑張ったこと・挑戦したこと,何に挑戦した？|どうやって続けた？|成功|失敗どちらも？,支えてくれた人は？|きっかけは？,結果より大事にしたこと？|今もその姿勢ある？,
120,学生時代・思い出,印象に残る瞬間（嬉しかった・悔しかった）,どんな場面？|誰といた？|何が心に残った？,その後どう変わった？|他人の言葉がきっかけ？,今も大切にしてる価値観？|あの瞬間を一言で言うと？,
121,学び・働くこと,今取り組んでいること,何に力を入れてる？|なぜ始めた？|やってみてどう？,誰かの影響あった？|続けるコツは？,それを通して感じた変化？|今後どう活かしたい？,
122,学び・働くこと,「頑張った」と感じた経験,どんなこと？|どんなきっかけ？|結果は？,誰かに支えられた？|乗り越えた瞬間？,その経験が今に影響？|もう一度挑戦したい？,
123,学び・働くこと,やりがいを感じる瞬間,どんな時？|誰かに喜ばれた？|達成感あった？,モチベーションの源は？|続けたい理由は？,「やりがい」とは何だと思う？|それを失わないためにしてること？,
124,学び・働くこと,進路や将来を考えたきっかけ,どんな出来事？|いつ頃から？|誰かの影響？,迷ったことある？|選んだ理由は？,今振り返ってどう思う？|次に挑戦したい方向は？,
125,学び・働くこと,好き・得意なことを活かす場面,どんな得意分野？|活かせた経験ある？|誰に褒められた？,苦手をどう補ってる？|仲間と分担した？,その得意をどう伸ばしたい？|活かせる環境とは？,
126,学び・働くこと,失敗やミスから学んだこと,どんな失敗？|どう感じた？|何が原因？,誰かに助けられた？|今ならどうする？,そこから変わったこと？|その失敗をどう活かしてる？,
127,学び・働くこと,時間の使い方・工夫,どう管理してる？|朝型？夜型？|集中のコツ？,予定立てる？|休憩の取り方は？,理想の時間の使い方？|改善したい点ある？,
128,学び・働くこと,チームや仲間との協力,どんな場面？|どう分担した？|成功の秘訣？,意見がぶつかった？|乗り越え方は？,チームで働く良さ？|今後の課題は？,
129,学び・働くこと,新しいことを学ぶ時の工夫,どう学ぶ？|教材？動画？|どんな環境？,継続するコツ？|失敗した方法ある？,自分に合う学び方？|誰に教えたい？,
130,学び・働くこと,「働く」「学ぶ」とは何だと思う？,なぜ働く？|なぜ学ぶ？|その意味は？,年齢で変わった？|他人の考えに影響受けた？,将来どうありたい？|どんな人生観を持ってる？,
131,人間関係,初対面で気をつけていること,どんな印象を大事にしてる？|笑顔？挨拶？|話題の選び方？,緊張する？|印象に残った出会いある？,第一印象は変わると思う？|相手に求めるものは？,
132,人間関係,信頼できる人の特徴,どんな人？|どういう時に信頼する？|信頼のきっかけは？,信頼関係が壊れた経験ある？|信頼を築くコツ？,自分は信頼されるタイプ？|信頼って何だと思う？,
133,人間関係,人と意見が合わない時,どんな場面？|どう対応する？|譲る？話す？,感情的になった経験ある？|後で反省した？,どうすれば建設的な話し合いに？|多様性についてどう思う？,
134,人間関係,チームでうまくいった経験,どんな目的？|どんな役割？|うまくいった理由？,協力のコツ？|感謝した人は？,その経験を次に活かしてる？|チームで大切なことは？,
135,人間関係,人間関係で大事にしていること,どんな価値観？|どんな行動を心がけてる？|誠実さ？距離感？,他人との違いを感じた？|大事にされて嬉しかった瞬間？,人との関係で学んだこと？|失敗から得たこと？,
136,人間関係,苦手な人との接し方,どんなタイプ？|なぜ苦手？|どう対応してる？,無理に合わせる？|距離を置く？,相手を理解できた瞬間？|苦手が減ったきっかけ？,
137,人間関係,感謝を伝えた経験,誰に？|どんな時？|どう伝えた？,反応どうだった？|照れた？,その経験で感じたこと？|伝えることの大切さ？,
138,人間関係,グループ作業や共同作業の思い出,どんなテーマ？|どんな役割？|印象的な場面？,意見が分かれた？|どうまとめた？,チームで得た学び？|もう一度やりたい？,
139,人間関係,人から学んだこと,誰から？|どんなこと？|きっかけは？,意外だった教え？|言葉より行動？,今も影響受けてる？|自分も誰かに伝えたい？,
140,人間関係,感情のコントロール,怒りや落ち込みどう対処？|ストレス発散法は？|我慢強い方？,人に見せる？隠す？|言葉で伝える？,感情との付き合い方変わった？|冷静さを保つコツ？,
141,ライフスタイル,朝の過ごし方,起きて最初にすること？|理想の朝？|朝のルーティン？,朝型？夜型？|準備にかける時間？,朝の時間で変わる1日？|整う感覚ある？,
142,ライフスタイル,休日の過ごし方,どんな日が理想？|誰と過ごす？|一人で何する？,予定を立てる？|その日の気分で？,休むってどういうこと？|充実を感じる瞬間？,
143,ライフスタイル,リラックス方法,どうリフレッシュする？|場所？音楽？|誰と過ごす？,ストレスを感じた時？|最近の癒し？,リセットする瞬間？|続けたい習慣？,
144,ライフスタイル,時間の使い方・マイルール,時間の使い方で意識してること？|1日の中で大事にしてる時間？|効率より大切にしてること？,スマホ時間どうしてる？|予定の立て方？,時間に追われないコツ？|理想のリズム？,
145,ライフスタイル,日常の小さな楽しみ,どんな瞬間？|誰と？|どんな気分？,習慣にしてること？|季節で変わる？,その瞬間を大事にする理由？|他の人にも勧めたい？,
146,ライフスタイル,片付けや整理整頓,得意？苦手？|どんな工夫？|片付けのタイミング？,整理すると気分変わる？|ものを減らした経験？,片付けで気づいたこと？|理想の空間とは？,
147,ライフスタイル,食生活のこだわり,自炊？外食？|好きなメニュー？|食べる時間は？,健康意識してる？|人と食べるの好き？,食を通じて感じる幸せ？|料理から学んだこと？,
148,ライフスタイル,SNS・ネットとの付き合い方,どんな使い方？|時間決めてる？|SNS見るタイミング？,疲れる時ある？|発信する？見る専門？,ネットとの距離感意識してる？|デジタルデトックスしたこと？,
149,ライフスタイル,お金の使い方・価値観,何に使う？|節約派？投資派？|お金で大事にしてること？,最近買ってよかったもの？|後悔した買い物？,お金の使い方に性格出る？|使うより貯める？,
150,ライフスタイル,理想の1日,朝から夜までどんな流れ？|誰と過ごしたい？|どんな気分でいたい？,現実とのギャップ？|叶えたい日常？,1日で「幸せ」を感じる瞬間？|今後どんな暮らしをしたい？,
151,記憶と体験,最近「懐かしいな」と感じた瞬間,どんな場面で？|何を見て or 聞いて？|誰と一緒に？,どうして懐かしいと思った？|久しぶりに感じた？,その頃の自分に何か言いたい？|今と比べて変わったことは？,
152,記憶と体験,印象に残っている「におい」や「音」,どんなにおい or 音？|どこで感じた？|どんな気持ちになった？,その感覚を今も覚えてる？|似た体験はある？,その感覚が好き？|思い出すと落ち着く？,
153,記憶と体験,子どもの頃によく遊んでいたこと,どんな遊び？|どこで？|誰と？,今もそれに似たことしてる？|どんなところが楽しかった？,その遊びで学んだことある？|今の子どもにすすめたい？,
154,記憶と体験,人から言われて「心に残った言葉」,どんな言葉？|誰に言われた？|いつ頃？,どんな時に思い出す？|その言葉で変わったことある？,今ならどう受け止める？|他の人にも伝えたい？,
155,記憶と体験,「初めて」の体験で印象に残っていること,何を初めてした？|どこで？|誰と一緒？,どんな気持ちだった？|その後どうなった？,今また挑戦したい？|あの時の自分にアドバイスすると？,
156,記憶と体験,忘れられない「自然」の風景,どこで見た？|どんな景色？|何を感じた？,季節はいつ？|誰かといた？,今もその風景に行ってみたい？|似た場所を探したことある？,
157,記憶と体験,「時間が止まったよう」と感じた瞬間,どんな出来事？|どこで？|どんな気持ちだった？,その瞬間を今でも覚えてる？|誰かに話した？,もう一度体験したい？|今ならどう感じる？,
